date,bailout,capital concentration,moral hazard,passive investing,plutocracy,quantitative easing,stimulus package,systemic risk,too big to fail,unfair distribution,wealth inequality
2004-01-01,1,0,67,0,20,0,0.0,0,0,0,0
2004-02-01,0,0,84,0,23,0,0.0,0,0,0,0
2004-03-01,1,0,62,0,0,0,0.0,0,0,0,34
2004-04-01,1,0,59,0,0,0,0.0,0,0,0,0
2004-05-01,0,0,83,0,16,0,0.0,39,0,0,0
2004-06-01,1,0,48,0,25,0,0.0,0,0,0,22
2004-07-01,0,0,57,0,30,0,0.0,0,0,0,0
2004-08-01,0,0,52,0,21,0,0.0,0,0,0,0
2004-09-01,0,0,54,0,26,0,0.0,0,0,0,0
2004-10-01,0,0,61,0,59,0,0.0,0,0,0,30
2004-11-01,0,0,79,0,24,0,0.0,0,0,0,34
2004-12-01,0,0,69,0,21,0,0.0,43,0,0,0
2005-01-01,0,0,66,0,17,0,0.0,0,3,0,22
2005-02-01,0,0,57,0,27,0,0.0,41,0,0,20
2005-03-01,0,0,63,0,26,0,0.0,35,0,0,17
2005-04-01,1,0,83,0,23,0,0.0,0,0,0,20
2005-05-01,1,0,66,0,16,0,0.0,41,0,0,16
2005-06-01,1,0,49,0,13,0,0.0,31,0,0,0
2005-07-01,0,0,52,0,16,0,0.0,36,0,0,0
2005-08-01,0,0,49,0,19,0,0.0,26,0,0,0
2005-09-01,0,0,61,0,18,0,0.0,24,0,0,13
2005-10-01,0,0,54,0,26,0,0.0,0,0,0,17
2005-11-01,0,0,63,0,21,0,0.0,39,0,0,34
2005-12-01,0,0,61,0,17,0,0.0,22,0,0,16
2006-01-01,1,0,57,0,12,0,0.0,26,0,0,0
2006-02-01,0,0,70,0,18,2,0.0,38,0,0,0
2006-03-01,0,0,49,0,18,4,0.0,29,0,0,13
2006-04-01,0,0,62,0,11,0,0.0,33,0,0,15
2006-05-01,0,0,57,0,13,0,0.0,29,0,0,13
2006-06-01,0,0,44,0,9,0,0.0,21,0,0,12
2006-07-01,0,0,44,0,11,0,,16,0,0,0
2006-08-01,0,0,33,0,10,0,0.0,21,0,0,0
2006-09-01,0,0,46,0,23,0,0.0,21,0,0,9
2006-10-01,0,0,49,0,16,0,0.0,32,0,0,0
2006-11-01,0,0,60,0,17,0,0.0,27,0,0,11
2006-12-01,0,0,51,0,26,0,0.0,18,0,0,16
2007-01-01,0,0,44,36,16,0,0.0,15,0,0,15
2007-02-01,0,0,48,0,20,0,0.0,28,0,0,11
2007-03-01,0,0,52,0,21,0,0.0,28,0,0,13
2007-04-01,0,0,62,0,20,0,0.0,16,0,0,0
2007-05-01,0,0,58,25,15,0,0.0,19,0,0,14
2007-06-01,0,0,41,0,18,0,0.0,26,0,0,8
2007-07-01,0,0,31,0,13,0,0.0,31,0,0,0
2007-08-01,1,0,53,0,17,0,0.0,24,0,0,6
2007-09-01,1,0,60,0,19,0,0.0,19,0,0,10
2007-10-01,1,56,62,18,19,0,0.0,27,0,0,10
2007-11-01,1,0,65,21,38,0,0.0,29,1,0,14
2007-12-01,1,0,63,23,20,0,0.0,10,0,0,10
2008-01-01,1,0,49,0,16,0,9.0,24,0,0,8
2008-02-01,1,81,56,21,24,0,20.0,32,1,0,7
2008-03-01,2,0,74,19,17,0,10.0,30,1,0,13
2008-04-01,1,50,68,21,32,0,18.0,35,1,0,12
2008-05-01,1,0,69,21,18,0,23.0,21,1,0,13
2008-06-01,1,0,44,0,14,0,5.0,20,0,0,14
2008-07-01,2,0,52,17,17,0,2.0,35,1,0,9
2008-08-01,1,0,34,16,19,0,1.0,22,1,0,7
2008-09-01,95,58,100,13,29,0,1.0,71,4,0,13
2008-10-01,100,45,86,0,28,1,4.0,70,2,0,14
2008-11-01,42,44,77,17,21,9,6.0,56,3,0,13
2008-12-01,45,0,74,16,17,20,5.0,38,3,0,8
2009-01-01,25,48,58,13,18,13,23.0,40,2,0,5
2009-02-01,34,55,91,16,22,12,100.0,56,2,0,10
2009-03-01,25,66,76,11,20,38,42.0,100,5,73,12
2009-04-01,15,80,64,15,19,15,28.0,69,4,0,13
2009-05-01,9,35,67,28,15,13,15.0,61,4,0,8
2009-06-01,7,0,50,12,11,8,8.0,63,3,0,9
2009-07-01,6,0,45,14,13,7,8.0,51,2,0,6
2009-08-01,5,43,39,23,13,10,5.0,47,2,0,5
2009-09-01,6,59,53,12,22,8,5.0,62,3,99,7
2009-10-01,6,32,66,11,33,9,4.0,61,11,0,12
2009-11-01,5,34,68,12,24,11,4.0,82,15,0,11
2009-12-01,5,37,62,16,19,8,3.0,55,13,0,11
2010-01-01,6,0,54,17,28,7,3.0,52,11,0,7
2010-02-01,6,0,59,14,24,10,4.0,46,10,0,8
2010-03-01,6,58,64,18,35,8,10.0,65,9,0,15
2010-04-01,7,51,67,13,30,4,7.0,69,12,0,15
2010-05-01,9,62,66,13,37,9,9.0,55,9,0,12
2010-06-01,4,50,55,0,24,5,3.0,55,7,0,8
2010-07-01,4,0,39,8,27,6,2.0,41,6,0,6
